scientificName,norwegianName
Balaena mysticetus,Grønlandshval
Balaenoptera acutorostrata,Vågehval
Balaenoptera borealis,Seihval
Balaenoptera musculus,Blåhval
Balaenoptera physalus,Finnhval
Cetacea,Hvaler
Cystophora cristata,Klappmyss
Delphinapterus leucas,Hvithval
Erignathus barbatus,Storkobbe
Globicephala melas,Grindhval
Hyperoodon ampullatus,Nebbhval
Lagenorhynchus acutus,Kvitskjeving
Lagenorhynchus albirostris,Kvitnos
Megaptera novaeangliae,Knølhval
Monodon monoceros,Narhval
Odobenus rosmarus,Hvalross
Orcinus orca,Spekkhogger
Pagophilus groenlandicus,Grønlandssel
Phoca vitulina,Steinkobbe
Phocoena phocoena,Nise
Physeter macrocephalus,Spermhval
Pinnipedia,Seldyr
Pusa hispida,Ringsel
Ursus maritimus,Isbjørn
